question_num,question,expected_output,actual_output,num_contexts,hallucination_score,hallucination_success,correctness_score,correctness_success
1,Which dish on the menu won an international food award?,There is no information indicating that any dish has won an international award.,"

The provided context does not contain any information related to dishes, menus, or international food awards. The content focuses on academic conferences (e.g., KDD ’25), research papers, LLM-based evaluations (e.g., ""LLMs-as-judges""), technical leaderboards (e.g., Berkeley Function-Calling Leaderboard), and metrics for AI/agent performance (e.g., AST correctness, Plan Quality). There is no mention of culinary achievements, food-related awards, or menu items in the text. The answer cannot be derived from the given context.",3,1.0,False,1.0,True
2,What year was this menu originally created?,The creation year of the menu is not specified.,"

The provided context does not mention any information about a ""menu"" or its creation year. The references and conference details included in the context focus on academic papers, repositories (e.g., Babyagi, OpenAI Evals), and conference proceedings (KDD ’25 in 2025). There is no indication of a ""menu"" being discussed or referenced in the material. As such, the question cannot be answered based on the given context.",3,0.0,True,0.2,False
3,Which dish is the chef’s personal favorite?,The chef’s personal preferences are not provided.,"

The context provided consists of citations for academic papers related to computer science topics, such as machine learning and cybersecurity. There is no mention of a chef, culinary dishes, or personal preferences related to food in any of the cited works. Therefore, the chef’s personal favorite dish cannot be determined from the given context. The information required to answer the question is absent.",3,0.0,True,1.0,True
4,How many Michelin stars does this restaurant have?,There is no information stating that the restaurant has any Michelin stars.,"

The provided context does not contain any information related to Michelin stars or restaurant ratings. The cited sources focus on topics such as AI frameworks (BabyAGI), benchmarking metrics (Nvidia), evaluation tools (OpenAI Evals), conversational agent interaction quality (driks et al.), and web navigation dialogues (WebLINX). None of these address restaurant evaluations or Michelin star ratings. Therefore, the question cannot be answered using the given context.",3,0.0,True,1.0,True
5,Which dish uses a secret family recipe?,No dishes are described as using a secret or family recipe.,"

The provided context does not mention any specific dish that uses a secret family recipe. The content focuses on adversarial prompts targeting AI agents, vulnerabilities in LLMs (e.g., coreference-based attacks), and technical research papers or tools like *AgentQuest* and Google Vertex AI. There is no culinary, recipe-related, or food-related information in the context to answer this question.",3,0.0,True,1.0,True
6,What is the restaurant’s best-selling dish of all time?,Best-selling dish data is not available.,"

The provided information does not contain any details about a restaurant or its best-selling dish. The context primarily discusses research papers, leaderboards, and technical topics related to artificial intelligence, language models, and web navigation. There is no mention of restaurants, dishes, or culinary-related data. Therefore, the answer cannot be determined from the given material.",3,1.0,False,0.2,False
7,Which dish customers order most during festivals?,There is no seasonal or festival-based ordering data provided.,"

The provided context does not contain any information related to dishes, customer orders, or festival-related food preferences. The context focuses on studies about long-term conversational memory in AI agents (e.g., Maharana et al.), adherence to domain-specific policies, and a reference to a paper on language agents for web interaction (""Webshop"" by Yao et al., 2022). There is no mention of culinary trends, festival dishes, or customer behavior regarding food orders. Therefore, the question cannot be answered based on the given material.",3,0.0,True,1.0,True
8,Which dish was added most recently to the menu?,Menu version history or addition dates are not provided.,"

The provided context does not contain any information related to dishes, menus, or culinary items. It exclusively lists academic papers, authors, conferences, and technical topics (e.g., neural information processing, AI benchmarking). Therefore, **no answer can be derived from the given context** for the question about the most recently added dish to a menu.",3,1.0,False,0.7,True
9,Which dish has received the highest customer rating online?,Online ratings or reviews are not available.,"

The provided context does not contain any information related to dishes, customer ratings, or online reviews. The context focuses on evaluation metrics (e.g., NDCG, F1 score), interaction quality aspects (e.g., task completion, output quality), and technical parameters in machine comprehension and system evaluation. Therefore, the question cannot be answered based on the given material.",3,0.0,True,0.2,False
10,Which dish is recommended by food critics?,There is no critic endorsement information provided.,"

The provided context does not contain any information related to food critics, culinary recommendations, or specific dishes. The context focuses on methods for evaluating agent outputs (e.g., user studies, expert audits, crowdworker annotations) and cites research papers in machine learning and AI evaluation. There is no mention of food, dishes, or critics in the excerpts provided. Therefore, the question cannot be answered based on the given material.",3,0.0,True,1.0,True
