Food_Combo_ID,Season,Combo_Type,Food_Menu_Item_Main,Food_Menu_Item_Side_Dish,Food_Menu_Item_Dessert_Name,Waste_Risk_Score,Waste_Risk_Level,Estimated_Waste_Reduction_Percentage,Recommended_Strategies
1,Summer,Lunch Combo (Main+Side+Dessert),Lebanese Style Baked Chicken and Potatoes Recipe,Corn And Onion Raita Recipe,Lemon Custard Tart Recipe,0.6,Medium,27,Track daily usage & adjust portions; Batch small quantities; Use FIFO storage & rapid chill; Cross-utilize protein in stocks/soups; Source local seasonal produce to reduce spoilage and transport loss
2,Summer,Dinner Combo (Soup+Main+Beverage),Lebanese Style Baked Chicken and Potatoes Recipe,Homemade Canape Papdi Chaat Recipe,Lemon Custard Tart Recipe,0.535,Medium,36,Track daily usage & adjust portions; Batch small quantities; Use FIFO storage & rapid chill; Cross-utilize protein in stocks/soups; Plan cross-day menu reuse (stocks/bases); Use leftover bases for soups or gravies; Source local seasonal produce to reduce spoilage and transport loss
3,Summer,Lunch Combo (Main+Side+Dessert),Andhra Pepper Chicken Recipe - Dry Restaurant Style Pepper Chicken,Lemon Thyme Rasam Recipe,"Eggless Strawberry, Rose And Pistachio Cake Recipe",0.555,Medium,32,Track daily usage & adjust portions; Batch small quantities; Use FIFO storage & rapid chill; Cross-utilize protein in stocks/soups; Source local seasonal produce to reduce spoilage and transport loss
4,Summer,Dinner Combo (Soup+Main+Beverage),Andhra Pepper Chicken Recipe - Dry Restaurant Style Pepper Chicken,Baked Matar Kachori Recipe - Delicious Evening Snack,"Eggless Strawberry, Rose And Pistachio Cake Recipe",0.505,Medium,35,"Track daily usage & adjust portions; Prep-to-order leafy items; Keep dressings/sauces separate; Use repurposing (soups, fillings); Plan cross-day menu reuse (stocks/bases); Use leftover bases for soups or gravies; Source local seasonal produce to reduce spoilage and transport loss"
5,Summer,Lunch Combo (Main+Side+Dessert),Gujarati Kadhi Recipe - Sweet and Spicy Gujarati Kadhi,Mooli Raita Recipe - Spiced Yogurt Salad with Radish,Frozen Strawberry Souffle Recipe,0.6,Medium,30,Track daily usage & adjust portions; Batch small quantities; Use FIFO storage & rapid chill; Cross-utilize protein in stocks/soups; Source local seasonal produce to reduce spoilage and transport loss
6,Summer,Dinner Combo (Soup+Main+Beverage),Gujarati Kadhi Recipe - Sweet and Spicy Gujarati Kadhi,Karnataka Style BALEDINA Kosambari Recipe (Banana Stem Salad),Frozen Strawberry Souffle Recipe,0.535,Medium,35,Track daily usage & adjust portions; Batch small quantities; Use FIFO storage & rapid chill; Cross-utilize protein in stocks/soups; Plan cross-day menu reuse (stocks/bases); Use leftover bases for soups or gravies; Source local seasonal produce to reduce spoilage and transport loss
7,Summer,Lunch Combo (Main+Side+Dessert),Slow Cooker Mexican Chicken Stew Recipe,Beetroot & Sesame Thepla Recipe ,Fennel Infused Mango Sorbet Recipe,0.48,Medium,33,"Track daily usage & adjust portions; Prep-to-order leafy items; Keep dressings/sauces separate; Use repurposing (soups, fillings); Source local seasonal produce to reduce spoilage and transport loss"
8,Summer,Dinner Combo (Soup+Main+Beverage),Slow Cooker Mexican Chicken Stew Recipe,BHEL Puri Recipe - BHEL Puri Recipe,Fennel Infused Mango Sorbet Recipe,0.49,Medium,38,"Track daily usage & adjust portions; Prep-to-order leafy items; Keep dressings/sauces separate; Use repurposing (soups, fillings); Plan cross-day menu reuse (stocks/bases); Use leftover bases for soups or gravies; Source local seasonal produce to reduce spoilage and transport loss"
9,Summer,Lunch Combo (Main+Side+Dessert),Greek Style Vegan Moussaka Recipe,Tawa Crispy Pomfret Fry Recipe,Whole Wheat Lemon & Cranberry Muffins Recipe,0.6,Medium,27,Track daily usage & adjust portions; Batch small quantities; Use FIFO storage & rapid chill; Cross-utilize protein in stocks/soups; Source local seasonal produce to reduce spoilage and transport loss
10,Summer,Dinner Combo (Soup+Main+Beverage),Greek Style Vegan Moussaka Recipe,Sukha Bhel Recipe With Boiled Peanuts - Peanut Bhel Chaat,Whole Wheat Lemon & Cranberry Muffins Recipe,0.535,Medium,32,Track daily usage & adjust portions; Batch small quantities; Use FIFO storage & rapid chill; Cross-utilize protein in stocks/soups; Plan cross-day menu reuse (stocks/bases); Use leftover bases for soups or gravies; Source local seasonal produce to reduce spoilage and transport loss
11,Summer,Lunch Combo (Main+Side+Dessert),Slow Cooker Mexican Chicken Stew Recipe,Classic Indian Sliced Salad Recipe,Frozen Strawberry Souffle Recipe,0.555,Medium,40,Track daily usage & adjust portions; Batch small quantities; Use FIFO storage & rapid chill; Cross-utilize protein in stocks/soups; Source local seasonal produce to reduce spoilage and transport loss
12,Summer,Dinner Combo (Soup+Main+Beverage),Slow Cooker Mexican Chicken Stew Recipe,Beetroot Gajar Mooli Salad Recipe - Radish & Beetroot Salad,Frozen Strawberry Souffle Recipe,0.505,Medium,42,"Track daily usage & adjust portions; Prep-to-order leafy items; Keep dressings/sauces separate; Use repurposing (soups, fillings); Plan cross-day menu reuse (stocks/bases); Use leftover bases for soups or gravies; Source local seasonal produce to reduce spoilage and transport loss"
13,Summer,Lunch Combo (Main+Side+Dessert),Slow Cooker Mexican Chicken Stew Recipe,Mysore Chutney Recipe - Chana Dal Chutney,Whole Wheat Orange Honey Cake Recipe,0.525,Medium,39,"Track daily usage & adjust portions; Prep-to-order leafy items; Keep dressings/sauces separate; Use repurposing (soups, fillings); Source local seasonal produce to reduce spoilage and transport loss"
14,Summer,Dinner Combo (Soup+Main+Beverage),Slow Cooker Mexican Chicken Stew Recipe,Chicken seekh kebab recipe,Whole Wheat Orange Honey Cake Recipe,0.58,Medium,36,Track daily usage & adjust portions; Batch small quantities; Use FIFO storage & rapid chill; Cross-utilize protein in stocks/soups; Plan cross-day menu reuse (stocks/bases); Use leftover bases for soups or gravies; Source local seasonal produce to reduce spoilage and transport loss
15,Summer,Lunch Combo (Main+Side+Dessert),Gujarati Kadhi Recipe - Gujarati Kadhi Recipe,Grilled Vegetable and Oat Salad Recipe with Feta Cheese,Whole Wheat Lemon & Cranberry Muffins Recipe,0.6,Medium,30,Track daily usage & adjust portions; Batch small quantities; Use FIFO storage & rapid chill; Cross-utilize protein in stocks/soups; Source local seasonal produce to reduce spoilage and transport loss
16,Summer,Dinner Combo (Soup+Main+Beverage),Gujarati Kadhi Recipe - Gujarati Kadhi Recipe,Dal Bhajia Recipe - Vegetable Dal Pakora Recipe,Whole Wheat Lemon & Cranberry Muffins Recipe,0.535,Medium,32,Track daily usage & adjust portions; Batch small quantities; Use FIFO storage & rapid chill; Cross-utilize protein in stocks/soups; Plan cross-day menu reuse (stocks/bases); Use leftover bases for soups or gravies; Source local seasonal produce to reduce spoilage and transport loss
17,Summer,Lunch Combo (Main+Side+Dessert),Greek Style Vegan Moussaka Recipe,Begun Basanti Recipe - Eggplant In Mustard Yogurt Curry,Tiramisu Gingerbread Cupcake Recipe,0.6,Medium,38,Track daily usage & adjust portions; Batch small quantities; Use FIFO storage & rapid chill; Cross-utilize protein in stocks/soups; Source local seasonal produce to reduce spoilage and transport loss
18,Summer,Dinner Combo (Soup+Main+Beverage),Greek Style Vegan Moussaka Recipe,Grilled Chicken Wings Recipe,Tiramisu Gingerbread Cupcake Recipe,0.58,Medium,36,Track daily usage & adjust portions; Batch small quantities; Use FIFO storage & rapid chill; Cross-utilize protein in stocks/soups; Plan cross-day menu reuse (stocks/bases); Use leftover bases for soups or gravies; Source local seasonal produce to reduce spoilage and transport loss
19,Summer,Lunch Combo (Main+Side+Dessert),Basil Pesto Grilled Chicken Recipe,Green Moong vegetable - Green Moong Dal Sabzi (Recipe in Hindi),Lemon Custard Tart Recipe,0.555,Medium,42,Track daily usage & adjust portions; Batch small quantities; Use FIFO storage & rapid chill; Cross-utilize protein in stocks/soups; Source local seasonal produce to reduce spoilage and transport loss
20,Summer,Dinner Combo (Soup+Main+Beverage),Basil Pesto Grilled Chicken Recipe,Golgappa Chaat Recipe,Lemon Custard Tart Recipe,0.58,Medium,38,Track daily usage & adjust portions; Batch small quantities; Use FIFO storage & rapid chill; Cross-utilize protein in stocks/soups; Plan cross-day menu reuse (stocks/bases); Use leftover bases for soups or gravies; Source local seasonal produce to reduce spoilage and transport loss
21,Summer,Lunch Combo (Main+Side+Dessert),Gujarati Kadhi Recipe - Sweet and Spicy Gujarati Kadhi,Mooli Raita Recipe - Spiced Yogurt Salad with Radish,Lemon Custard Tart Recipe,0.6,Medium,41,Track daily usage & adjust portions; Batch small quantities; Use FIFO storage & rapid chill; Cross-utilize protein in stocks/soups; Source local seasonal produce to reduce spoilage and transport loss
22,Summer,Dinner Combo (Soup+Main+Beverage),Gujarati Kadhi Recipe - Sweet and Spicy Gujarati Kadhi,Bajri Methi Na Vada Recipe - Pearl Millet Flour Fritters,Lemon Custard Tart Recipe,0.58,Medium,32,Track daily usage & adjust portions; Batch small quantities; Use FIFO storage & rapid chill; Cross-utilize protein in stocks/soups; Plan cross-day menu reuse (stocks/bases); Use leftover bases for soups or gravies; Source local seasonal produce to reduce spoilage and transport loss
23,Summer,Lunch Combo (Main+Side+Dessert),Slow Cooker Mexican Chicken Stew Recipe,Gujarati Lasaniya Batata Recipe - Garlic Potato Curry,Whole Wheat Orange Honey Cake Recipe,0.6,Medium,42,Track daily usage & adjust portions; Batch small quantities; Use FIFO storage & rapid chill; Cross-utilize protein in stocks/soups; Source local seasonal produce to reduce spoilage and transport loss
24,Summer,Dinner Combo (Soup+Main+Beverage),Slow Cooker Mexican Chicken Stew Recipe,Chatpata Aloo Moong Sprouts Recipe With Buttered Pav Buns,Whole Wheat Orange Honey Cake Recipe,0.535,Medium,45,Track daily usage & adjust portions; Batch small quantities; Use FIFO storage & rapid chill; Cross-utilize protein in stocks/soups; Plan cross-day menu reuse (stocks/bases); Use leftover bases for soups or gravies; Source local seasonal produce to reduce spoilage and transport loss
25,Summer,Lunch Combo (Main+Side+Dessert),Gujarati Kadhi Recipe - Gujarati Kadhi Recipe,Beetroot & Sesame Thepla Recipe ,"Eggless Strawberry, Rose And Pistachio Cake Recipe",0.525,Medium,33,"Track daily usage & adjust portions; Prep-to-order leafy items; Keep dressings/sauces separate; Use repurposing (soups, fillings); Source local seasonal produce to reduce spoilage and transport loss"
26,Summer,Dinner Combo (Soup+Main+Beverage),Gujarati Kadhi Recipe - Gujarati Kadhi Recipe,Mustard Mayo Baby Potato Salad Recipe,"Eggless Strawberry, Rose And Pistachio Cake Recipe",0.58,Medium,35,Track daily usage & adjust portions; Batch small quantities; Use FIFO storage & rapid chill; Cross-utilize protein in stocks/soups; Plan cross-day menu reuse (stocks/bases); Use leftover bases for soups or gravies; Source local seasonal produce to reduce spoilage and transport loss
27,Summer,Lunch Combo (Main+Side+Dessert),Slow Cooker Mexican Chicken Stew Recipe,Beetroot & Sesame Thepla Recipe ,Frozen Strawberry Souffle Recipe,0.525,Medium,38,"Track daily usage & adjust portions; Prep-to-order leafy items; Keep dressings/sauces separate; Use repurposing (soups, fillings); Source local seasonal produce to reduce spoilage and transport loss"
28,Summer,Dinner Combo (Soup+Main+Beverage),Slow Cooker Mexican Chicken Stew Recipe,Sprouted Moong Chaat Recipe,Frozen Strawberry Souffle Recipe,0.535,Medium,33,Track daily usage & adjust portions; Batch small quantities; Use FIFO storage & rapid chill; Cross-utilize protein in stocks/soups; Plan cross-day menu reuse (stocks/bases); Use leftover bases for soups or gravies; Source local seasonal produce to reduce spoilage and transport loss
29,Summer,Lunch Combo (Main+Side+Dessert),Andhra Pepper Chicken Recipe - Dry Restaurant Style Pepper Chicken,Your Kalanian Resource - Rinnas Bagrys Curry,Whole Wheat Orange Honey Cake Recipe,0.6,Medium,26,Track daily usage & adjust portions; Batch small quantities; Use FIFO storage & rapid chill; Cross-utilize protein in stocks/soups; Source local seasonal produce to reduce spoilage and transport loss
30,Summer,Dinner Combo (Soup+Main+Beverage),Andhra Pepper Chicken Recipe - Dry Restaurant Style Pepper Chicken,Stuffed Idli Ke Pakode Recipe,Whole Wheat Orange Honey Cake Recipe,0.535,Medium,46,Track daily usage & adjust portions; Batch small quantities; Use FIFO storage & rapid chill; Cross-utilize protein in stocks/soups; Plan cross-day menu reuse (stocks/bases); Use leftover bases for soups or gravies; Source local seasonal produce to reduce spoilage and transport loss
31,Summer,Lunch Combo (Main+Side+Dessert),Basil Pesto Grilled Chicken Recipe,Kaju Karela Recipe - Bitter Gourd And Cashew Nuts Stir Fry,"Eggless Strawberry, Rose And Pistachio Cake Recipe",0.555,Medium,33,Track daily usage & adjust portions; Batch small quantities; Use FIFO storage & rapid chill; Cross-utilize protein in stocks/soups; Source local seasonal produce to reduce spoilage and transport loss
32,Summer,Dinner Combo (Soup+Main+Beverage),Basil Pesto Grilled Chicken Recipe,Sprouted Moong Chaat Recipe,"Eggless Strawberry, Rose And Pistachio Cake Recipe",0.535,Medium,39,Track daily usage & adjust portions; Batch small quantities; Use FIFO storage & rapid chill; Cross-utilize protein in stocks/soups; Plan cross-day menu reuse (stocks/bases); Use leftover bases for soups or gravies; Source local seasonal produce to reduce spoilage and transport loss
33,Summer,Lunch Combo (Main+Side+Dessert),Pudina Mushroom And Soya Biryani Recipe,Vazhaithandu Pachadi Recipe - Banana Stem Raita,Lemon Custard Tart Recipe,0.6,Medium,29,Track daily usage & adjust portions; Batch small quantities; Use FIFO storage & rapid chill; Cross-utilize protein in stocks/soups; Source local seasonal produce to reduce spoilage and transport loss
34,Summer,Dinner Combo (Soup+Main+Beverage),Pudina Mushroom And Soya Biryani Recipe,Waldorf Salad Recipe,Lemon Custard Tart Recipe,0.58,Medium,32,Track daily usage & adjust portions; Batch small quantities; Use FIFO storage & rapid chill; Cross-utilize protein in stocks/soups; Plan cross-day menu reuse (stocks/bases); Use leftover bases for soups or gravies; Source local seasonal produce to reduce spoilage and transport loss
35,Summer,Lunch Combo (Main+Side+Dessert),Ribs With Guava Barbecue Sauce Recipe,"Moroccan Fennel, Roasted Beet & Citrus Salad with Fennel-Beet Yogurt Dressing Recipe",Tiramisu Gingerbread Cupcake Recipe,0.492,Medium,36,"Track daily usage & adjust portions; Prep-to-order leafy items; Keep dressings/sauces separate; Use repurposing (soups, fillings); Source local seasonal produce to reduce spoilage and transport loss"
36,Summer,Dinner Combo (Soup+Main+Beverage),Ribs With Guava Barbecue Sauce Recipe,Corn Pineapple Salsa Salad Recipe,Tiramisu Gingerbread Cupcake Recipe,0.427,Medium,34,"Track daily usage & adjust portions; Prep-to-order leafy items; Keep dressings/sauces separate; Use repurposing (soups, fillings); Plan cross-day menu reuse (stocks/bases); Use leftover bases for soups or gravies; Source local seasonal produce to reduce spoilage and transport loss"
37,Summer,Lunch Combo (Main+Side+Dessert),Greek Style Vegan Moussaka Recipe,Roasted Vegetables With Tahini Sauce Recipe,Whole Wheat Orange Honey Cake Recipe,0.6,Medium,40,Track daily usage & adjust portions; Batch small quantities; Use FIFO storage & rapid chill; Cross-utilize protein in stocks/soups; Source local seasonal produce to reduce spoilage and transport loss
38,Summer,Dinner Combo (Soup+Main+Beverage),Greek Style Vegan Moussaka Recipe,Dal Bhajia Recipe - Vegetable Dal Pakora Recipe,Whole Wheat Orange Honey Cake Recipe,0.535,Medium,47,Track daily usage & adjust portions; Batch small quantities; Use FIFO storage & rapid chill; Cross-utilize protein in stocks/soups; Plan cross-day menu reuse (stocks/bases); Use leftover bases for soups or gravies; Source local seasonal produce to reduce spoilage and transport loss
39,Summer,Lunch Combo (Main+Side+Dessert),Greek Style Vegan Moussaka Recipe,Lemon Thyme Rasam Recipe,Whole Wheat Orange Honey Cake Recipe,0.555,Medium,35,Track daily usage & adjust portions; Batch small quantities; Use FIFO storage & rapid chill; Cross-utilize protein in stocks/soups; Source local seasonal produce to reduce spoilage and transport loss
40,Summer,Dinner Combo (Soup+Main+Beverage),Greek Style Vegan Moussaka Recipe,Grilled Chicken Wings Recipe,Whole Wheat Orange Honey Cake Recipe,0.58,Medium,45,Track daily usage & adjust portions; Batch small quantities; Use FIFO storage & rapid chill; Cross-utilize protein in stocks/soups; Plan cross-day menu reuse (stocks/bases); Use leftover bases for soups or gravies; Source local seasonal produce to reduce spoilage and transport loss
41,Summer,Lunch Combo (Main+Side+Dessert),Lebanese Style Baked Chicken and Potatoes Recipe,Corn And Onion Raita Recipe,"Eggless Strawberry, Rose And Pistachio Cake Recipe",0.6,Medium,32,Track daily usage & adjust portions; Batch small quantities; Use FIFO storage & rapid chill; Cross-utilize protein in stocks/soups; Source local seasonal produce to reduce spoilage and transport loss
