user_input,retrieved_contexts,response,reference,hallucinations_metric,hallucinations_rubric,hallucinations_binary
Which dish on the menu won an international food award?,"['KDD ’25, August 3–7, 2025, Toronto, ON, Canada Mahmoud Mohammadi, Yipeng Li, Jane Lo, and Wendy Yip\n[46] Haitao Li, Qian Dong, Junjie Chen, Huixue Su, Yujia Zhou, Qingyao Ai, Ziyi\nYe, and Yiqun Liu. 2024. Llms-as-judges: a comprehensive survey on llm-based', 'against prompt injection attacks. Leaderboards such as the Berke-\nley Function-Calling Leaderboard (BFCL) [ 100] and Holistic Agent\nLeaderboard [ 88] consolidate these evaluations by providing stan-\ndardized test cases, automated metrics (e.g., AST correctness, Win', 'tency, Plan QualityAgentBoard [ 8] Massive Multitask Language Understand-\ning [36], LLM-Augmented Autonomous Agents [ 55], Clus-\nter diagnosis questions [84], SimuCourt [35], Magis [90]\nMemory & Context\nRetentionFactual Accuracy Recall, Consis-']","

The provided context does not contain any information related to dishes, menus, or international food awards. The content focuses on academic conferences (e.g., KDD ’25), research papers, LLM evaluation methods (e.g., ""LLMs-as-judges""), leaderboards for AI systems (e.g., Berkeley Function-Calling Leaderboard), and evaluation metrics (e.g., AST correctness, Win rates, Factual Accuracy). There is no mention of culinary awards, food-related topics, or menu items. The answer cannot be derived from the given context.",There is no information indicating that any dish has won an international award.,0.08333333333333337,1,1
What year was this menu originally created?,"['SIGKDD Conference on Knowledge Discovery and Data Mining V.2 (KDD ’25),\nAugust 3–7, 2025, Toronto, ON, Canada. ACM, New York, NY, USA, 11 pages.\nhttps://doi.org/10.1145/3711896.3736570\nThis work is licensed under a Creative Commons Attribution 4.0 International License.\nKDD ’25, Toronto, ON, Canada', 'foundry\n[69] Yohei Nakajima. 2023. Babyagi. GitHub repository (2023).\n[70] Nvidia. 2024. LLM Benchmark Metrics. https://docs.nvidia.com/nim/\nbenchmarking/llm/latest/metrics.htm\n[71] OpenAI. 2023. OpenAI Evals. https://github.com/openai/evals', '[63] Xing Han Lù, Zdeněk Kasner, and Siva Reddy. 2024. WebLINX: Real-World Web-\nsite Navigation with Multi-Turn Dialogue. (Feb. 2024). arXiv:2402.05930 [cs.CL]\n[64] Chang Ma, Junlei Zhang, Zhihao Zhu, Cheng Yang, Yujiu Yang, Yaohui Jin, Zhen-']","

The provided context does not mention any information about a menu or its creation year. The references include details about conferences (e.g., KDD ’25 in 2025), research papers (e.g., WebLINX in 2024), GitHub repositories (e.g., Babyagi in 2023), and benchmark metrics (e.g., NVIDIA's 2024 documentation). There is no mention of a ""menu"" or its origin date in any of the cited materials. 

**Answer:** The context does not contain information about a menu or its creation year.",The creation year of the menu is not specified.,0.0,1,1
Which dish is the chef’s personal favorite?,"['[51] Percy Liang, Rishi Bommasani, Tony Lee, Dimitris Tsipras, Dilara Soylu, Michi-\nhiro Yasunaga, Yian Zhang, Deepak Narayanan, Yuhuai Wu, Ananya Kumar,\nBenjamin Newman, Binhang Yuan, Bobby Yan, Ce Zhang, Christian Cosgrove,', 'autonomously exploit one-day vulnerabilities. arXiv preprint arXiv:2404.08144\n13 (2024), 14.[23] Adam Fourney, Gagan Bansal, Hussein Mozannar, Cheng Tan, Eduardo Sali-\nnas, Erkang, Zhu, Friederike Niedtner, Grace Proebsting, Griffin Bassman,', 'arXiv:2407.12784 [cs.LG] https://arxiv.org/abs/2407.12784\n[14] Thibault Le Sellier De Chezelles, Maxime Gasse, Alexandre Drouin, Massimo\nCaccia, Léo Boisvert, Megh Thakkar, Tom Marty, Rim Assouel, Sahar Omidi\nShayegan, Lawrence Keunho Jang, Xing Han Lù, Ori Yoran, Dehan Kong, Frank F.']","

The provided context does not contain any information related to a chef, culinary dishes, or personal preferences of a chef. The context exclusively lists technical arXiv preprints and their associated authors, primarily in fields like computer science, machine learning, and cybersecurity (e.g., ""autonomously exploit one-day vulnerabilities""). There is no mention of food, cooking, or a chef's favorite dish. Therefore, the question cannot be answered based on the given context.",The chef’s personal preferences are not provided.,0.0,1,1
How many Michelin stars does this restaurant have?,"['foundry\n[69] Yohei Nakajima. 2023. Babyagi. GitHub repository (2023).\n[70] Nvidia. 2024. LLM Benchmark Metrics. https://docs.nvidia.com/nim/\nbenchmarking/llm/latest/metrics.htm\n[71] OpenAI. 2023. OpenAI Evals. https://github.com/openai/evals', 'driks. 2023. Predicting interaction quality aspects using level-based scores for\nconversational agents. In Proceedings of the 23rd ACM International Conference on\nIntelligent Virtual Agents . ACM, Würzburg Germany, 1–8. doi:10.1145/3570945.\n3607332', '[63] Xing Han Lù, Zdeněk Kasner, and Siva Reddy. 2024. WebLINX: Real-World Web-\nsite Navigation with Multi-Turn Dialogue. (Feb. 2024). arXiv:2402.05930 [cs.CL]\n[64] Chang Ma, Junlei Zhang, Zhihao Zhu, Cheng Yang, Yujiu Yang, Yaohui Jin, Zhen-']","

The provided context does not include any information about a specific restaurant or its Michelin star rating. The references focus on topics such as AI frameworks (BabyAGI), benchmarking metrics (Nvidia), evaluation tools (OpenAI Evals), conversational agent interaction quality (Driks et al.), and web navigation dialogues (WebLINX). There is no mention of restaurants, culinary awards, or Michelin stars in any of the cited works. Therefore, the question cannot be answered based on the given context.",There is no information stating that the restaurant has any Michelin stars.,0.0,1,0
Which dish uses a secret family recipe?,"['versarial prompts designed to trick them into breaking safety rules\n(e.g., a user subtly asks for self-harm advice or illicit instructions).\nCoSafe revealed that even advanced agents had vulnerabilities,\nsuch as falling for coreference-based attacks (where a user refers to', 'Friede, Roberto Bifulco, and Carolin Lawrence. 2024. AgentQuest: A Modular\nBenchmark Framework to Measure Progress and Improve LLM Agents. doi:10.\n48550/arXiv.2404.06411\n[29] Google. 2024. Google Vortex AI. https://cloud.google.com/vertex-ai', 'autonomously exploit one-day vulnerabilities. arXiv preprint arXiv:2404.08144\n13 (2024), 14.[23] Adam Fourney, Gagan Bansal, Hussein Mozannar, Cheng Tan, Eduardo Sali-\nnas, Erkang, Zhu, Friederike Niedtner, Grace Proebsting, Griffin Bassman,']","

The provided context does not mention any specific dish that uses a secret family recipe. The content focuses on topics such as adversarial prompts targeting AI safety, vulnerabilities in advanced AI agents (e.g., coreference-based attacks), and technical references to studies like *AgentQuest* and Google's Vertex AI. There is no culinary or recipe-related information included.",No dishes are described as using a secret or family recipe.,0.0,1,0
What is the restaurant’s best-selling dish of all time?,"['Leaderboard. https://gorilla.cs.berkeley.edu/blogs/8_berkeley_function_calling_\nleaderboard.html.\n[101] Qisen Yang, Zekun Wang, Honghui Chen, Shenzhi Wang, Yifan Pu, Xin Gao,\nWenhao Huang, Shiji Song, and Gao Huang. 2024. PsychoGAT: A Novel Psycho-', 'tency, Plan QualityAgentBoard [ 8] Massive Multitask Language Understand-\ning [36], LLM-Augmented Autonomous Agents [ 55], Clus-\nter diagnosis questions [84], SimuCourt [35], Magis [90]\nMemory & Context\nRetentionFactual Accuracy Recall, Consis-', '[63] Xing Han Lù, Zdeněk Kasner, and Siva Reddy. 2024. WebLINX: Real-World Web-\nsite Navigation with Multi-Turn Dialogue. (Feb. 2024). arXiv:2402.05930 [cs.CL]\n[64] Chang Ma, Junlei Zhang, Zhihao Zhu, Cheng Yang, Yujiu Yang, Yaohui Jin, Zhen-']","

The context provided does not contain any information related to a restaurant, its dishes, or culinary topics. The references focus on AI research (e.g., PsychoGAT, WebLINX, AgentBoard), language models, autonomous agents, and technical benchmarks. There is no mention of restaurants, menus, or food items. Therefore, the answer cannot be determined from the given context.",Best-selling dish data is not available.,0.11111111111111116,1,1
Which dish customers order most during festivals?,"['emergent behaviors across multi-day interactions. Similarly, Maha-\nrana et al. [ 65] evaluated long-term conversational memory through\n600-turn dialogues, focusing on how well agents maintain coher-\nence and context over extended conversations.5.4 Adherence to Domain-Specific Policies and', 'Yao, Jue Wang, Keshav Santhanam, Laurel Orr, Lucia Zheng, Mert Yuksekgonul,\nMirac Suzgun, Nathan Kim, Neel Guha, Niladri Chatterji, Omar Khattab, Peter\nHenderson, Qian Huang, Ryan Chi, Sang Michael Xie, Shibani Santurkar, Surya', 'Agents. arXiv:2402.11208 [cs.CR] https://arxiv.org/abs/2402.11208\n[103] Shunyu Yao, Howard Chen, John Yang, and Karthik Narasimhan. 2022. Webshop:\nTowards scalable real-world web interaction with grounded language agents.\nAdvances in Neural Information Processing Systems 35 (2022), 20744–20757.']","

The provided context does not contain any information related to dishes ordered by customers during festivals. The cited works focus on topics such as long-term conversational memory in AI agents (Maharana et al.), domain-specific policy adherence, and web interaction agents (e.g., the ""Webshop"" paper by Yao et al.), but none address culinary preferences, festival-related orders, or food-related data. Consequently, the question cannot be answered based on the given context.",There is no seasonal or festival-based ordering data provided.,0.0,1,0
Which dish was added most recently to the menu?,"['resolution. Advances in Neural Information Processing Systems 37 (2024), 51963–\n51993.\n[91] Harsh Trivedi, Tushar Khot, Mareike Hartmann, Ruskin Manku, Vinty Dong,\nEdward Li, Shashank Gupta, Ashish Sabharwal, and Niranjan Balasubramanian.', 'Benjamin Newman, Binhang Yuan, Bobby Yan, Ce Zhang, Christian Cosgrove,\nChristopher D. Manning, Christopher Ré, Diana Acosta-Navas, Drew A. Hudson,\nEric Zelikman, Esin Durmus, Faisal Ladhak, Frieda Rong, Hongyu Ren, Huaxiu\nYao, Jue Wang, Keshav Santhanam, Laurel Orr, Lucia Zheng, Mert Yuksekgonul,', 'Rob Fergus, Jakob Nicolaus Foerster, Jack Parker-Holder, and Tim Rocktäschel.\n2024. BALROG: Benchmarking Agentic LLM and VLM Reasoning On Games.\narXiv:2411.13543 [cs.AI] https://arxiv.org/abs/2411.13543\n[73] Yichen Pan, Dehan Kong, Sida Zhou, Cheng Cui, Yifei Leng, Bing Jiang, Hangyu']","

The provided context does not contain any information related to dishes, menus, or culinary updates. It consists of academic citations, author lists, and references to papers focused on topics like neural information processing systems, AI benchmarking, and machine learning research (e.g., the BALROG paper on arXiv). There is no mention of restaurants, food items, or menu changes. Therefore, the question cannot be answered with the given context.",Menu version history or addition dates are not provided.,0.0,1,0
Which dish has received the highest customer rating online?,"['2016. SQuAD: 100,000+ Questions for Machine Comprehension of Text.\narXiv:1606.05250 [cs.CL]\n[80] Merle M. Reimann, Catharine Oertel, Florian A. Kunneman, and Koen V. Hin-\ndriks. 2023. Predicting interaction quality aspects using level-based scores for', 'the highest-level view in evaluation and offers the most direct\ninsight into the user experience. This category encompasses aspects\nsuch as task completion, output quality, latency, and cost.\n3.1.1 Task Completion: Task completion is a fundamental objec-', 'list. In contrast, Normalized Discounted Cumulative Gain (NDCG)\nreflects how well the system ranks all relevant tools[54].\nParameter-related evaluation involves two aspects. The param-\neter name F1 score [83] measures the agent’s ability to identify the']","

The provided context does not contain any information related to dishes, customer ratings, or online reviews. It focuses on evaluation metrics in machine comprehension and interaction quality (e.g., task completion, NDCG, F1 scores) and does not mention culinary topics, user reviews, or specific products. Therefore, the question cannot be answered based on the given context.",Online ratings or reviews are not available.,0.09999999999999998,2,1
Which dish is recommended by food critics?,"['user studies, expert audits (where domain experts review agent\noutputs), or Crowdworker annotations (where outputs are rated\nalong dimensions such as relevance, correctness, and tone). This\nmethod offers the highest reliability in open-ended tasks, such as', 'resolution. Advances in Neural Information Processing Systems 37 (2024), 51963–\n51993.\n[91] Harsh Trivedi, Tushar Khot, Mareike Hartmann, Ruskin Manku, Vinty Dong,\nEdward Li, Shashank Gupta, Ashish Sabharwal, and Niranjan Balasubramanian.', 'Khizbullin, Yunyang Xiong, Zechun Liu, Ernie Chang, Raghuraman Krish-\nnamoorthi, Yuandong Tian, et al .2024. Agent-as-a-judge: Evaluate agents\nwith agents. arXiv preprint arXiv:2410.10934 (2024).']","

The provided context does not contain any information related to food, dishes, or recommendations by food critics. The context focuses on **evaluation methods for AI agents** (e.g., user studies, expert audits, crowdworker annotations) and cites research papers about assessing agent outputs in machine learning. There is no mention of culinary topics, dishes, or food critics. Therefore, the question cannot be answered based on the given material.",There is no critic endorsement information provided.,0.09999999999999998,1,1
