name,description,cuisine,course,diet,ingredients_name,ingredients_quantity,prep_time (in mins),cook_time (in mins),instructions,Season
Karwar Style Kairichi Udid Methi Recipe (Raw Mango Methi Curry),"Karwar Style Kairichi Udid Methi Recipe (Raw Mango Methi Curry) is a Konkani style raw mango curry. Its tangy, spicy, little sweetish with a hint of bitterness acquired from methi seeds in it. Its one of the must dish in Konkani festivals. Served with steamed rice, they taste absolute finger licking.",Karnataka,Dinner,Vegetarian,"Mango (Raw), Fresh coconut, White Urad Dal (Split), Methi Seeds (Fenugreek Seeds), Basmati rice, Dry Red Chillies, Turmeric powder (Haldi), Curry leaves, Mustard seeds (Rai/ Kadugu), Asafoetida (hing), Jaggery, Salt, Coconut Oil","2 Mango (Raw) , peeled and chopped  1 cup Fresh coconut , grated  1 tablespoon White Urad Dal (Split)  1 teaspoon Methi Seeds (Fenugreek Seeds)  1 tablespoon Basmati rice  5 Dry Red Chillies  1/2 teaspoon Turmeric powder (Haldi) Curry leaves , few  1/2 teaspoon Mustard seeds (Rai/ Kadugu) Asafoetida (hing) , a pinch   2 tablespoons Jaggery , adjustable Salt , to taste Coconut Oil , as required",10,20,"To begin making the Karwar Style Kairichi Udid Methi Recipe (Raw Mango Methi Curry), chop raw mango into bite sized pieces. Into the pressure cooker, add  turmeric powder, salt and 1/4 cup of water and pressure cook for 3 whistles.Meanwhile, in a small pan, roast the urad dal, fenugreek seeds, rice and red chillies till crisp. Grind this along with coconut adding little water and make a smooth paste.When the raw mangoes are cooked add the ground masala to it. Add salt, jaggery and few curry leaves. Mix everything well and bring the Kairichi Udid Methi Curry to boil. Add some water to get the desired consistencyThe next step is to prepare the tempering. Add oil in a small tadka pan and when its hot add mustard seeds, hing and few curry leaves. Pour into Kairichi Udid Methi and it is ready to be served.Serve Karwar Style Kairichi Udid Methi Recipe (Raw Mango Methi Curry) along with Punjabi Style Tinda Sabji, Palak Raita and Phulka for your everyday meal.",Summer
Raw Banana & Ajwain Paratha Recipe,Raw Banana & Ajwain Paratha Recipe is a healthy way to consume raw banana in the form of stuffed Paratha. The  is very simple and also filling for a breakfast or Lunch. Raw banana mixed with Ajwain gives it an earthy flavor to the whole dish.,North Indian,North Indian Breakfast,Diabetic Friendly,"Whole Wheat Flour, Salt, Raw Banana, Ajwain (Carom seeds), Garam masala powder, Amchur (Dry Mango Powder), Coriander Powder (Dhania), Turmeric powder (Haldi), Green Chillies, Sugar, Coriander (Dhania) Leaves","For the dough 1 1/2 cups Whole Wheat Flour Salt , to taste For the Stuffing 2 Raw Banana , boiled and mashed  1 teaspoon Ajwain (Carom seeds)  2 teaspoon Garam masala powder  2 teaspoon Amchur (Dry Mango Powder)  1 teaspoon Coriander Powder (Dhania)  1/2 teaspoon Turmeric powder (Haldi)  2 Green Chillies , finely chopped  1 teaspoon Sugar  2 sprig Coriander (Dhania) Leaves , finely chopped",10,30,"We begin making the Raw Banana & Ajwain Paratha Recipe by boiling the raw banana in the pressure cooker. Cut the banana into three pieces, remove the edges, boil it with water and salt for about 4 whistle.Once done, release the pressure naturally, remove the skin and mash it into a fine paste. Into this add the remaining ingredients and mix well.In order to make the dough, knead all the ingredients well into a soft dough Now to begin making the paratha, keep some flour aside for dusting. Divide the dough into large lemon side balls.Dust the dough portions in flour, flatten it and roll it into a 3 inch diameter circle. Place the filling on half side of the circle and close the paratha by folding it with the other half. Yes its as simple as that. We will have a semi-circle oval shape. Press the sides of the paratha down to seal the edges and gently using the rolling pin to flatten it. Take care, the filling can ooze out if the dough is rolled out too thin.Now to cook the Paratha, first preheat the skillet on medium heat. Place the rolled paratha on top and allow it to cook on one side. After about 10 to 15 seconds, flip the paratha.At this stage, smear some oil or ghee to cook the paratha. Cook the paratha by flipping over a couple of times until you see golden brown spots on both sides.Proceed the same way with the remaining dough portions and serve the Raw Banana & Ajwain Paratha Recipe Paratha with Raita and Sweet Lime Pickle for Breakfast meal.",Summer
Savory Oatmeal Bowl with Sautéed Carrot and Green Bean Recipe ,Savory Oatmeal Bowl with Sautéed Carrot and Green Bean Recipe is a wonderful way to add some vegetables to your everyday oatmeal bowl. The bowl will fill you up with a complete satisfaction for your morning breakfast. The traditional oatmeal might sometimes get boring and you would want to use some spicy topping on to your oatmeal. As oatmeal will yield you with good amount of Iron content needed for your body and the additional topped vegetables will have sufficient nutrition.,,World Breakfast,Vegetarian,"Rolled Oats Or Instant Oats, Water, Green beans (French Beans), Carrot (Gajjar), Ginger, Cloves (Laung), Cumin seeds (Jeera), Red Chilli powder, Black pepper powder, Coriander Powder (Dhania), Salt","40 grams Rolled Oats Or Instant Oats , 40 grams  1 1/2 cup Water For the Topping 50 grams Green beans (French Beans) , sliced diagonally  1 Carrot (Gajjar) , sliced diagonally  1 inch Ginger , chopped  4 Cloves (Laung) , garlic  1 teaspoon Cumin seeds (Jeera)  1 teaspoon Red Chilli powder  1 teaspoon Black pepper powder  1 teaspoon Coriander Powder (Dhania) Salt , to taste",10,15,"We begin making the Savory Oatmeal Bowl with Sautéed Carrot and Green Bean Recipe by heating a flat skillet with some oil, crackle the cumin seeds.Add in the chopped vegetables and saute. You can add some salt and saute as it will fasten the process.Next add in all the spice powders and saute for another 5 minutes till the raw smell goes away. Keep it aside.Now to make the oats, take a sauce pan, add in the oats and water and by using whisk keep stirring till it thickens. Make sure it does not form a lump. This will take you about 5 minutes.To plate, take a wide bowl, add in your oats mixture and drop you’re topping on top and serve.Serve the Savory Oatmeal Bowl with Sautéed Carrot and Green Bean Recipe as a Morning breakfast or just as an evening snack along with a cup of Plum Ginger Juice Recipe.",Winter
Kerala Style Vegetable Stew Recipe with Coconut Milk,"The Kerala Style Vegetable Stew is a quick and simple recipe that is a staple dish from Kerala. The stew is very quick to make and loaded with lots of vegetables making it healthy and nutritious. The Vegetable Stew recipe is made with a combination of vegetables like boiled potatoes, carrots, beans, cauliflower peas etc. The combination of vegetables is purely your choice. This recipe is a mild stew that is delicately spiced with green chillies, flavored with curry leaves and coconut milk. The stew is also a dish that is served during the Onam Sadya meal of the Onam Festival and along with the famous Kerala Appams.",Kerala ,Side Dish,Vegetarian,"Potatoes (Aloo), Carrot (Gajjar), Green beans (French Beans), Green Chillies, Coconut milk, Salt, Cloves (Laung), Whole Black Peppercorns, Sugar, Curry leaves, Coconut Oil","2 Potatoes (Aloo) , peeled and cubed  1 Carrot (Gajjar) , diced  10 Green beans (French Beans) , cut length wise  2 to 3 Green Chillies , slit lengthwise  250 ml Coconut milk Salt , to taste  3 Cloves (Laung)  1 teaspoon Whole Black Peppercorns , coarsely pounded  1 teaspoon Sugar  1 sprig Curry leaves  2 teaspoon Coconut Oil",20,40,"To begin making the Kerala Style Vegetable Stew, we need to cut the vegetables in desired shapes, steam them and keep them ready.Steam the potatoes, beans and carrots or any other vegetable of your choice and keep them aside. See How To Cook Vegetables in a pressure cookerIn a heavy bottomed sauce pan; add in the cooked vegetables, the coconut milk, curry leaves, cloves, black pepper and green chillies. Stir well and bring the mixture to a brisk boil. Add in the salt and sugar and adjust to suit your taste.Adjust gravy to get the right consistency by adding a little water if you want to make it little thinner. Make sure the gravy is not too watery. Finally add in the coconut oil and simmer for a few more minutes.Turn off the heat, cover the pan and allow the Vegetable Stew to rest for about 10 minutes. This brings out the flavors from the curry leaves, green chillies and coconut milk. Transfer the Vegetable Stew to a serving bowl. Serve the delicious flavorful Kerala Style Vegetable Stew along with Kerala Appams.",Monsoon
Alugadde Batani Gasi Recipe - Potatoes and Peas Gassi,"Alugadde Batani Gasi Recipe is a delicious Udupi style coconut based potatoes and green peas curry. Udupi cuisine uses a lot of coconut, and the curries are flavoured with the freshly ground masalas which gives it a distinctive flavour.",Udupi,Main Course,Vegetarian,"Fresh coconut, White Urad Dal (Split), Cumin seeds (Jeera), Coriander (Dhania) Seeds, Dry Red Chillies, Tamarind, Turmeric powder (Haldi), Jaggery, Oil, Curry leaves, Mustard seeds (Rai/ Kadugu), Dry Red Chillies, Green peas (Matar), Potatoes (Aloo), Salt","For the coconut masala 1 cup Fresh coconut  1 teaspoon White Urad Dal (Split)  1 teaspoon Cumin seeds (Jeera)  1 teaspoon Coriander (Dhania) Seeds  6 Dry Red Chillies  15 grams Tamarind  1/2 teaspoon Turmeric powder (Haldi)  1 tablespoon Jaggery For the seasoning 1 tablespoon Oil  2 sprig Curry leaves  1/2 teaspoon Mustard seeds (Rai/ Kadugu)  2 Dry Red Chillies , broken For the Vegetables 1 cup Green peas (Matar)  2 Potatoes (Aloo) Salt , to taste",10,30,"To begin making the Alugadde Batani Gasi Recipe - Potatoes And Peas Gassi , prep all the ingredients and keep aside.Into a pressure cooker, add the green peas along with a little salt and ¼ cup of water. Pressure cook for 2 whistles and turn off the heat. Release the pressure immediately to retain the fresh green colours of the peas. Keep aside.To cook the potatoes, cut the potatoes into half and add it into the pressure cooker. Add half cup of water and pressure cook for 3 to 4 whistles and turn off the heat. Allow the pressure to release naturally. Once pressure has released and the potatoes have cooled peel the potatoes and cut into cubes. Keep aside.To make the freshly ground coconut masala, heat a pan over medium heat. Add the urad dal and dry roast until it becomes golden brown. Add the cumin seeds, coriander seeds and dry red chillies and roast them for a few seconds until the seeds start crackling.Turn off the heat and allow the roasted ingredients to cool.Add the roasted dal, cumin seeds, coriander seeds, red chillies, along with the coconut, tamarind, turmeric powder, jaggery and half cup of warm water. Blend to make a smooth paste. Keep aside.Heat oil in a pan; add the mustard seeds, dry red chillies and allow the seeds to crackle. Stir in the curry leaves and give it a stir.Add the ground coconut masala, the cooked peas and potatoes along with 1/2 cup of water and stir well to combine. The gasi is usually thick, so you could adjust the consistency by adding more water if you like.  Give the gasi a brisk boil for 3 to 4 minutes and turn off the heat. Check salt and adjust according to taste and serve hot. Serve Batani Gassi Recipe (Udupi Style Potatoes and Peas Curry) with Steamed Rice, Udupi Style Southekayi Palya Recipe for a complete meal.",Winter
Besan Bread Toast Recipe On Tawa - Vegetarian French Toast,"Besan Bread Toast is an lip smacking recipe which can be prepared pretty quick and makes a great version of the vegetarian French Toast. Imagine waking up to the aroma of spices wafting through your kitchen, promising a breakfast that's both comforting and satisfying. That's what Besan Bread Toast on a tawa offers—a fusion of flavors that elevate the humble bread slice into a culinary delight.",Indian,North Indian Breakfast,Vegetarian,"Whole Wheat Brown Bread, Onion, Tomato, Green Chillies, Coriander (Dhania) Leaves, Gram flour (besan), Turmeric powder (Haldi), Red Chilli powder, Oil, Salt","4 Whole Wheat Brown Bread , whole wheat  1 Onion , finely chopped  1 Tomato , finely chopped  3 Green Chillies , finely chopped  1/4 cup Coriander (Dhania) Leaves , finely chopped  1/2 cup Gram flour (besan)  1/2 teaspoon Turmeric powder (Haldi)  1/2 teaspoon Red Chilli powder Oil , for making the toast Salt , to taste",10,10,"To begin making the Besan Bread Toast, take a big bowl, add besan, onion, tomato, green chilli, coriander leaves, turmeric powder, red chilli powder, season with salt and enough water to make a semi thick batter that will easily coat the back of the spoon.Heat a skillet on medium heat, brush it with oil.Take a bread slice, dip it into the besan batter and place it on the heated skillet to cook the besan bread toast.Drizzle a little oil on the sides to cook the bread toast over medium heat. Once the besan bread toast is cooked at the bottom, flip over and cook the other side as well and allow it to turn golden brown on both sides. You can alternatively cook this toast with butter or even olive oil for added taste.Prepare the rest of the besan bread toasts the similar way and serve hot.Serve Besan Bread Toast along with Masala Chai. and sliced bananas for breakfast.",Monsoon
Kerala Kadala Curry Recipe - Spicy Chickpeas in Coconut Curry,"Kerala Kadala Curry Recipe is a delectable recipe that is a popular dish from the Kerala Cuisine. Kadala in this dish means chickpeas and most popularly the kala chana or the brown chickpea is used to make this dish. The coconut is ground along with fennel and coriander seeds and then cooked along in a gravy that has flavours coming from baby onions, green chillies and curry leaves along with the addition of cooking it in coconut oil.",Kerala ,South Indian Breakfast,High Protein Vegetarian,"Kala Chana (Brown Chickpeas), Coconut Oil, Mustard seeds (Rai/ Kadugu), Curry leaves, Green Chillies, Pearl onions (Sambar Onions), Garlic, Ginger, Homemade tomato puree, Turmeric powder (Haldi), Red Chilli powder, Salt, Fresh coconut, Coriander (Dhania) Seeds, Fennel seeds (Saunf)","Ingredients for the Curry 1 cup Kala Chana (Brown Chickpeas) , soaked overnight and cooked  1 tablespoon Coconut Oil  1/2 teaspoon Mustard seeds (Rai/ Kadugu)  2 sprig Curry leaves , finely chopped  2 Green Chillies , slit  15 Pearl onions (Sambar Onions) , finely chopped  5 cloves Garlic , finely chopped  1 inch Ginger , finely chopped  1/2 cup Homemade tomato puree  1/4 teaspoon Turmeric powder (Haldi)  1/2 teaspoon Red Chilli powder Salt , to taste Ingredients to be ground to paste 1 cup Fresh coconut  2 tablespoons Coriander (Dhania) Seeds  1 teaspoon Fennel seeds (Saunf)",400,60,"To begin making the Kerala Kadala Curry Recipe, soak chickpeas overnight or for at least 8 hours.Place the soaked chickpeas in the pressure cooker along with a little salt and 2-1/2 cups of water and cook until for 4 to 5 whistles. After 5 whistles, turn the heat to low and simmer for 20 minutes and turn the off the heat.Allow the pressure to release naturally. Ensure the kadal is completely cooked and has a soft bite. If not cook it for a longer time. Next to make the coconut paste, into a mixer grinder jar, add the coconut, fennel seeds and coriander seeds. Add 1/2 cup of warm water and blend to make a smooth paste. Heat oil in a heavy bottomed pan over medium heat.Add the mustard seeds and allow it to crackle. Once it crackles, add the onion, garlic, ginger and green chillies and saute until the onion is soft and translucent. Add the curry leaves and saute for a few seconds. Stir in the tomato puree, turmeric powder, red chilli powder and the coconut puree and give the curry mixture a stir.Finally add the cooked chickpeas, a little salt to taste and bring the Kadala Curry to a boil.Add a cup of water, give the Kadala Curry a stir and turn the heat to low. Simmer the Kadala Curry for a good 15 minutes until all the masala is well absorbed to make a delicious taste Kadala Curry.Give it a taste and adjust the salt and chilli accordingly. Turn off the heat and transfer the Kerala Kadala Curry to a serving bowl and serve hot.Serve the Kerala Kadala Curry along with Puttu for a delicious breakfast, lunch or dinner or even make it for the festival of Onam.",Monsoon
Thengai Paal Kurma Recipe - Mixed Vegetables In Coconut Gravy,"Thengai Paal Kurma Recipe is often known as Vellai Kurma and is commonly known curry in chettinad area. Tender vegetables like cauliflower, potato and peas are cooked with green chillies and coconut milk. This can be prepared in few minutes and green chilies are enough for the spiciness. The addition of coconut milk adds a creamy texture and rich flavour to the gravy. Coconut milk is the only thickening agent in the curry. Potatoes also give this Thengai Paal Kurma a little volume.",Chettinad,Dinner,Vegetarian,"Potato (Aloo), Green peas (Matar), Cauliflower (gobi), Onion, Green Chillies, Cinnamon Stick (Dalchini), Cardamom (Elaichi) Pods/Seeds, Cloves (Laung), Bay leaf (tej patta), Ghee, Coconut milk, Salt","2 Potato (Aloo)  1/2 cup Green peas (Matar)  1 cup Cauliflower (gobi) , florets  1 Onion , chopped  3 to 4 Green Chillies , slit vertically (adjust the number of chilies according to your spice level)  1 inch Cinnamon Stick (Dalchini)  3 Cardamom (Elaichi) Pods/Seeds  3 Cloves (Laung)  1 Bay leaf (tej patta)  1 tablespoon Ghee , oil  1 cup Coconut milk , thick Salt , as required",15,35,"To begin making the Thengai Paal Kurma Recipe, pressure cook the potatoes for two whistles and cut them into small cubes.Steam the cauliflower florets and peas and keep them aside.Heat ghee/oil in a kadai/wok and once the oil is hot add cinnamon, cardamom, cloves and bay leaf . Saute for a few seconds till the aromas are released. Once done add onion,chilies and cook until onions become transparent.After the onions have become transparent add the cooked potatoes, cauliflower florets and peas.Add salt and a cup of water. Once the water starts boiling, add thick coconut milk and cook over medium heat for about 5 minutes.Adjust coconut milk according to suit your taste. If the gravy is too watery you can mash a few pieces of potato in the gravy to make the gravy thicker. Once the gravy has reached the desired consistency turn off the heat and transfer the Thengai Paal Kurma  into a serving bowl and serve.Serve Thengai Paal Kurma Recipe with  Appam or Idiyappam or Kerala Style Whole Wheat Parotta for a perfect meal.",Monsoon
Cold Phyllo Tartlets With Cream Cheese And Dill Toppings Recipe,The Cold Phyllo Tartlets With Cream Cheese And Dill Toppings make great bite sized appetizers for parties. They are quick and easy to make. You can combine a variety of herbs or flavors according to your taste to make these tartlets. To make this more appetizing add some fresh chopped fruits or berries along as well. Cream cheese has a unique tangy taste that serves as a perfect topping for the crispy phyllo tartlets cups. ,Continental,Dinner,Vegetarian,"Phyllo Tartlet Cups, Dill leaves, Strawberries, Britannia Cream Cheese, Sour cream, Hung Curd (Greek Yogurt), Salt, Mint Leaves (Pudina)","15 Phyllo Tartlet Cups , homemade or store bought  Few Dill leaves , minced  5 Strawberries , chopped  85 grams Britannia Cream Cheese  2 teaspoon Sour cream  55 grams Hung Curd (Greek Yogurt) Salt , a pinch Mint Leaves (Pudina) , for garnishing",10,15,"To start making Cold Phyllo Tartlets With Cream Cheese And Dill Toppings, first get all the ingredients ready.Blend in cream cheese, sour cream, greek yogurt in a food processor until thick and creamy. Stir in minced dill until combined.Place the phyllo cups on a serving platter and spoon in a teaspoon of cream cheese filling into the cups. Top the tartlets with chopped strawberries and garnish with fresh mint leaves, serve cold.Serve the Cold Phyllo Tartlets With Cream Cheese And Dill Toppings as an appetizer along with Honey Sesame Chilli Potato for your next dinner party.",Summer
Goruchikkudu Kaya With Peanut Podi Recipe - Cluster Beans With Peanut ,"Goruchikkudu Kaya which is the name for cluster beans in Telugu is a healthy and nutritious legume. It is known as Gavar in hindi, Kothavarangai in Tamil. It is a popular vegetable and goes well with both rice and roti. ",Andhra,Lunch,Vegetarian,"Gawar Phali (Kothavarangai / Cluster beans), Roasted Peanuts (Moongphali), Kashmiri Red Chilli Powder, Garlic, Oil, Salt","250 grams Gawar Phali (Kothavarangai / Cluster beans) , chopped  3/4 cup Roasted Peanuts (Moongphali) , roasted  1 teaspoon Kashmiri Red Chilli Powder  3 cloves Garlic , roughly chopped  1 tablespoon Oil Salt , to taste",15,20,"To begin making the Goruchikkudu Kaya With Peanut Podi Recipe, first wash and chop cluster beans and keep aside.Heat a thick bottom pan and if you are using whole peanuts with the husk then roast the peanuts on medium flame until the peanuts turn golden brown. This will take about 10 minutes.Cool, remove skin and transfer to a grinder. You can also use store bought roasted peanuts.Along with the peanuts, add the garlic, chilli powder and salt and blend to make a coarse powder. Keep this roasted peanut podi / powder by the side.Heat oil in  a Kadai or wok and add the cluster beans. Sprinkle some salt, 2 to 3 tablespoons of water and cover the pan and cook the Goruchikkudu kaya on medium heat until the cluster beans are tender and cooked through.It will take about 5 minutes.After the beans are cooked add the peanut podi masala to the beans and mix well. Stir the Goruchikkudu kaya With Peanut Podi for a minute on the flame and then switch of the heat. Check the salt and adjust according to taste. Once done, transfer the Goruchikkudu kaya to a serving bowl and serve hot.Goruchikkudu Kaya With Peanut Podi is a simple and delicious South Indian recipe and you can serve it with Thakkali Vengaya Sambar ,Steamed Rice or Roti with a bowl of curd.",Spring
